 ===============================================================================
              TRACMASS Lagrangian off-line particle tracking 
 ===============================================================================
 
 Start date  : 2026-03-11
 Start time  : 18:59:47
 
 -------------------------------------------------------------------------------
 
 Model information:
 Project code  : project_1m/eORCA12/eORC
 Case name     : eORCA12_2000_2009_1m
 Namelist file : projects/project_1m/eORCA12/eORC/namelist_eORCA12_2000_2009_1m.in
 
 -------------------------------------------------------------------------------
 
 Configuration options:
  - Forward in time (nff = 1)
  - A subdomain has been choosen
      i index:  2220 - 3558 
      j index:  2074 - 3079 
  - Three-dimensional trajectories (vertical fluxes computed)
  - Evaluate the value of these tracers along the trajectories:
     1- mld (m) 
     2- q (wm-2) 
     3- temp (degC) 
     4- sal (gkg-1) 
 
 -------------------------------------------------------------------------------
 
 imindom:        2221 jmindom:        2075 imt:        1339 jmt:        1006
 Output information:
 Directory for output files : /work/scratch-pw5/evanh/project_1m/eORCA12/eORCA12_output/
 Prefix for output files    : ORCA12_NPD_2000_2009_1m
 
 -------------------------------------------------------------------------------
 
 Start date in model-time     : 2000-01-01 00:00
 End date in model-time       : 2009-12-01 00:00
 Length of run in timesteps   :    120
 Number of seeding timesteps  :      1
 Time integration scheme      : regular time step scheme
 Steps between two GCM fields :    100
 
 -------------------------------------------------------------------------------
 t-step        run        out        err        tot                 model date
 -------------------------------------------------------------------------------
      1 |   279397 |        0 |        0 |   279397 |   2000-01-01    00:00:00
      2 |   167352 |   112045 |        0 |   279397 |   2000-02-01    00:00:00
      3 |   127574 |   151823 |        0 |   279397 |   2000-03-01    00:00:00
      4 |   107488 |   171909 |        0 |   279397 |   2000-04-01    00:00:00
      5 |    90025 |   189372 |        0 |   279397 |   2000-05-01    00:00:00
      6 |    81069 |   198328 |        0 |   279397 |   2000-06-01    00:00:00
      7 |    73280 |   206117 |        0 |   279397 |   2000-07-01    00:00:00
      8 |    68014 |   211383 |        0 |   279397 |   2000-08-01    00:00:00
      9 |    63634 |   215763 |        0 |   279397 |   2000-09-01    00:00:00
     10 |    60303 |   219094 |        0 |   279397 |   2000-10-01    00:00:00
     11 |    57740 |   221657 |        0 |   279397 |   2000-11-01    00:00:00
     12 |    55508 |   223889 |        0 |   279397 |   2000-12-01    00:00:00
     13 |    53284 |   226113 |        0 |   279397 |   2001-01-01    00:00:00
     14 |    51987 |   227410 |        0 |   279397 |   2001-02-01    00:00:00
     15 |    50460 |   228937 |        0 |   279397 |   2001-03-01    00:00:00
     16 |    48790 |   230607 |        0 |   279397 |   2001-04-01    00:00:00
     17 |    46903 |   232494 |        0 |   279397 |   2001-05-01    00:00:00
     18 |    44856 |   234541 |        0 |   279397 |   2001-06-01    00:00:00
     19 |    42780 |   236617 |        0 |   279397 |   2001-07-01    00:00:00
     20 |    41085 |   238312 |        0 |   279397 |   2001-08-01    00:00:00
     21 |    39155 |   240242 |        0 |   279397 |   2001-09-01    00:00:00
     22 |    38134 |   241263 |        0 |   279397 |   2001-10-01    00:00:00
     23 |    37212 |   242185 |        0 |   279397 |   2001-11-01    00:00:00
     24 |    36228 |   243169 |        0 |   279397 |   2001-12-01    00:00:00
     25 |    35184 |   244213 |        0 |   279397 |   2002-01-01    00:00:00
     26 |    33962 |   245435 |        0 |   279397 |   2002-02-01    00:00:00
     27 |    33066 |   246331 |        0 |   279397 |   2002-03-01    00:00:00
     28 |    32455 |   246942 |        0 |   279397 |   2002-04-01    00:00:00
     29 |    31778 |   247619 |        0 |   279397 |   2002-05-01    00:00:00
     30 |    30996 |   248401 |        0 |   279397 |   2002-06-01    00:00:00
     31 |    30013 |   249384 |        0 |   279397 |   2002-07-01    00:00:00
     32 |    29149 |   250248 |        0 |   279397 |   2002-08-01    00:00:00
     33 |    28228 |   251169 |        0 |   279397 |   2002-09-01    00:00:00
     34 |    27543 |   251854 |        0 |   279397 |   2002-10-01    00:00:00
     35 |    26825 |   252572 |        0 |   279397 |   2002-11-01    00:00:00
     36 |    26039 |   253358 |        0 |   279397 |   2002-12-01    00:00:00
     37 |    25431 |   253966 |        0 |   279397 |   2003-01-01    00:00:00
     38 |    24890 |   254507 |        0 |   279397 |   2003-02-01    00:00:00
     39 |    24302 |   255095 |        0 |   279397 |   2003-03-01    00:00:00
     40 |    23769 |   255628 |        0 |   279397 |   2003-04-01    00:00:00
     41 |    23374 |   256023 |        0 |   279397 |   2003-05-01    00:00:00
     42 |    23010 |   256387 |        0 |   279397 |   2003-06-01    00:00:00
     43 |    22578 |   256819 |        0 |   279397 |   2003-07-01    00:00:00
     44 |    22244 |   257153 |        0 |   279397 |   2003-08-01    00:00:00
     45 |    21858 |   257539 |        0 |   279397 |   2003-09-01    00:00:00
     46 |    21370 |   258027 |        0 |   279397 |   2003-10-01    00:00:00
     47 |    21059 |   258338 |        0 |   279397 |   2003-11-01    00:00:00
     48 |    20715 |   258682 |        0 |   279397 |   2003-12-01    00:00:00
     49 |    20350 |   259047 |        0 |   279397 |   2004-01-01    00:00:00
     50 |    19933 |   259464 |        0 |   279397 |   2004-02-01    00:00:00
     51 |    19543 |   259854 |        0 |   279397 |   2004-03-01    00:00:00
     52 |    19180 |   260217 |        0 |   279397 |   2004-04-01    00:00:00
     53 |    18840 |   260557 |        0 |   279397 |   2004-05-01    00:00:00
     54 |    18511 |   260886 |        0 |   279397 |   2004-06-01    00:00:00
     55 |    18203 |   261194 |        0 |   279397 |   2004-07-01    00:00:00
     56 |    17980 |   261417 |        0 |   279397 |   2004-08-01    00:00:00
     57 |    17725 |   261672 |        0 |   279397 |   2004-09-01    00:00:00
     58 |    17404 |   261993 |        0 |   279397 |   2004-10-01    00:00:00
     59 |    17115 |   262282 |        0 |   279397 |   2004-11-01    00:00:00
     60 |    16896 |   262501 |        0 |   279397 |   2004-12-01    00:00:00
     61 |    16648 |   262749 |        0 |   279397 |   2005-01-01    00:00:00
     62 |    16402 |   262995 |        0 |   279397 |   2005-02-01    00:00:00
     63 |    16186 |   263211 |        0 |   279397 |   2005-03-01    00:00:00
     64 |    15970 |   263427 |        0 |   279397 |   2005-04-01    00:00:00
     65 |    15769 |   263628 |        0 |   279397 |   2005-05-01    00:00:00
     66 |    15570 |   263827 |        0 |   279397 |   2005-06-01    00:00:00
     67 |    15419 |   263978 |        0 |   279397 |   2005-07-01    00:00:00
     68 |    15272 |   264125 |        0 |   279397 |   2005-08-01    00:00:00
     69 |    15109 |   264288 |        0 |   279397 |   2005-09-01    00:00:00
     70 |    14962 |   264435 |        0 |   279397 |   2005-10-01    00:00:00
     71 |    14789 |   264608 |        0 |   279397 |   2005-11-01    00:00:00
     72 |    14642 |   264755 |        0 |   279397 |   2005-12-01    00:00:00
     73 |    14478 |   264919 |        0 |   279397 |   2006-01-01    00:00:00
     74 |    14336 |   265061 |        0 |   279397 |   2006-02-01    00:00:00
     75 |    14215 |   265182 |        0 |   279397 |   2006-03-01    00:00:00
     76 |    14094 |   265303 |        0 |   279397 |   2006-04-01    00:00:00
     77 |    13977 |   265420 |        0 |   279397 |   2006-05-01    00:00:00
     78 |    13848 |   265549 |        0 |   279397 |   2006-06-01    00:00:00
     79 |    13753 |   265644 |        0 |   279397 |   2006-07-01    00:00:00
     80 |    13623 |   265774 |        0 |   279397 |   2006-08-01    00:00:00
     81 |    13521 |   265876 |        0 |   279397 |   2006-09-01    00:00:00
     82 |    13388 |   266009 |        0 |   279397 |   2006-10-01    00:00:00
     83 |    13266 |   266131 |        0 |   279397 |   2006-11-01    00:00:00
     84 |    13154 |   266243 |        0 |   279397 |   2006-12-01    00:00:00
     85 |    13062 |   266335 |        0 |   279397 |   2007-01-01    00:00:00
     86 |    12988 |   266409 |        0 |   279397 |   2007-02-01    00:00:00
     87 |    12901 |   266496 |        0 |   279397 |   2007-03-01    00:00:00
     88 |    12771 |   266626 |        0 |   279397 |   2007-04-01    00:00:00
     89 |    12681 |   266716 |        0 |   279397 |   2007-05-01    00:00:00
     90 |    12594 |   266803 |        0 |   279397 |   2007-06-01    00:00:00
     91 |    12503 |   266894 |        0 |   279397 |   2007-07-01    00:00:00
     92 |    12435 |   266962 |        0 |   279397 |   2007-08-01    00:00:00
     93 |    12332 |   267065 |        0 |   279397 |   2007-09-01    00:00:00
     94 |    12248 |   267149 |        0 |   279397 |   2007-10-01    00:00:00
     95 |    12157 |   267240 |        0 |   279397 |   2007-11-01    00:00:00
     96 |    12059 |   267338 |        0 |   279397 |   2007-12-01    00:00:00
     97 |    11963 |   267434 |        0 |   279397 |   2008-01-01    00:00:00
     98 |    11887 |   267510 |        0 |   279397 |   2008-02-01    00:00:00
     99 |    11806 |   267591 |        0 |   279397 |   2008-03-01    00:00:00
    100 |    11728 |   267669 |        0 |   279397 |   2008-04-01    00:00:00
    101 |    11645 |   267752 |        0 |   279397 |   2008-05-01    00:00:00
    102 |    11548 |   267849 |        0 |   279397 |   2008-06-01    00:00:00
    103 |    11467 |   267930 |        0 |   279397 |   2008-07-01    00:00:00
    104 |    11399 |   267998 |        0 |   279397 |   2008-08-01    00:00:00
    105 |    11325 |   268072 |        0 |   279397 |   2008-09-01    00:00:00
    106 |    11246 |   268151 |        0 |   279397 |   2008-10-01    00:00:00
    107 |    11172 |   268225 |        0 |   279397 |   2008-11-01    00:00:00
    108 |    11084 |   268313 |        0 |   279397 |   2008-12-01    00:00:00
    109 |    10983 |   268414 |        0 |   279397 |   2009-01-01    00:00:00
    110 |    10907 |   268490 |        0 |   279397 |   2009-02-01    00:00:00
    111 |    10854 |   268543 |        0 |   279397 |   2009-03-01    00:00:00
    112 |    10791 |   268606 |        0 |   279397 |   2009-04-01    00:00:00
    113 |    10732 |   268665 |        0 |   279397 |   2009-05-01    00:00:00
    114 |    10670 |   268727 |        0 |   279397 |   2009-06-01    00:00:00
    115 |    10604 |   268793 |        0 |   279397 |   2009-07-01    00:00:00
    116 |    10532 |   268865 |        0 |   279397 |   2009-08-01    00:00:00
    117 |    10484 |   268913 |        0 |   279397 |   2009-09-01    00:00:00
    118 |    10431 |   268966 |        0 |   279397 |   2009-10-01    00:00:00
    119 |    10367 |   269030 |        0 |   279397 |   2009-11-01    00:00:00
    120 |    10320 |   269077 |        0 |   279397 |   2009-12-01    00:00:00
 ===============================================================================
      279397  particles calculated
      269077  particles exited the space and time domain
           0  particles flagged with errors
       10320  particles in domain
 -------------------------------------------------------------------------------
 
 ===============================================================================
 End date  : 2026-03-11
 End time  : 20:11:41
 ===============================================================================
