 ===============================================================================
              TRACMASS Lagrangian off-line particle tracking 
 ===============================================================================
 
 Start date  : 2026-03-18
 Start time  : 14:17:11
 
 -------------------------------------------------------------------------------
 
 Model information:
 Project code  : project_1m_RAPID/eORCA1
 Case name     : eORCA1_09_1991_25_1m
 Namelist file : /tmp/tracmass_1991_09_1888033/project_1m_RAPID/eORCA1/eORCA1_files/1991/namelist_eORCA1_09_1991_25_1m.in
 
 -------------------------------------------------------------------------------
 
 Configuration options:
  - Forward in time (nff = 1)
  - A subdomain has been choosen
      i index:   185 - 296  
      j index:   197 - 311  
  - Three-dimensional trajectories (vertical fluxes computed)
  - Evaluate the value of these tracers along the trajectories:
     1- mld (m) 
     2- q (wm-2) 
     3- temp (degC) 
     4- sal (gkg-1) 
 
 -------------------------------------------------------------------------------
 
 imindom:         186 jmindom:         198 imt:         112 jmt:         115
 Output information:
 Directory for output files : /dssgfs01/scratch/emdh1n25/project_1m_RAPID/eORCA1/eORCA1_output/1991/
 Prefix for output files    : ORCA1_NPD_09_1991_25_1m
 
 -------------------------------------------------------------------------------
 
 Start date in model-time     : 1991-09-01 00:00
 End date in model-time       : 2016-08-01 00:00
 Length of run in timesteps   :    300
 Number of seeding timesteps  :      1
 Time integration scheme      : regular time step scheme
 Steps between two GCM fields :    100
 
 -------------------------------------------------------------------------------
 t-step        run        out        err        tot                 model date
 -------------------------------------------------------------------------------
      1 |    26492 |        0 |        0 |    26492 |   1991-09-01    00:00:00
      2 |    25500 |      992 |        0 |    26492 |   1991-10-01    00:00:00
      3 |    24817 |     1675 |        0 |    26492 |   1991-11-01    00:00:00
      4 |    24435 |     2057 |        0 |    26492 |   1991-12-01    00:00:00
      5 |    23884 |     2608 |        0 |    26492 |   1992-01-01    00:00:00
      6 |    23476 |     3016 |        0 |    26492 |   1992-02-01    00:00:00
      7 |    23283 |     3209 |        0 |    26492 |   1992-03-01    00:00:00
      8 |    23109 |     3383 |        0 |    26492 |   1992-04-01    00:00:00
      9 |    23011 |     3481 |        0 |    26492 |   1992-05-01    00:00:00
     10 |    22889 |     3603 |        0 |    26492 |   1992-06-01    00:00:00
     11 |    22796 |     3696 |        0 |    26492 |   1992-07-01    00:00:00
     12 |    22660 |     3832 |        0 |    26492 |   1992-08-01    00:00:00
     13 |    22514 |     3978 |        0 |    26492 |   1992-09-01    00:00:00
     14 |    22399 |     4093 |        0 |    26492 |   1992-10-01    00:00:00
     15 |    22279 |     4213 |        0 |    26492 |   1992-11-01    00:00:00
     16 |    22201 |     4291 |        0 |    26492 |   1992-12-01    00:00:00
     17 |    22125 |     4367 |        0 |    26492 |   1993-01-01    00:00:00
     18 |    22031 |     4461 |        0 |    26492 |   1993-02-01    00:00:00
     19 |    21899 |     4593 |        0 |    26492 |   1993-03-01    00:00:00
