      23,  1,         9
    8816,  2,         4
    8817,  2,         4
    8818,  2,         4
    8819,  2,         4
    8820,  2,         4
    8821,  2,         4
    8822,  2,         3
    8823,  2,         4
    8824,  2,         3
    8825,  2,         4
    8826,  2,         3
    8827,  2,         4
    8828,  2,         3
    8829,  2,         4
    8830,  2,         3
    8831,  2,         4
    8832,  2,         3
    8833,  2,         4
    8834,  2,         3
    8835,  2,         3
    8836,  2,         4
    8837,  2,         3
    8838,  2,         3
    8839,  2,         4
    8840,  2,         3
    8841,  2,         3
    8842,  2,         4
    8843,  2,         4
    8844,  2,         3
    8845,  2,         3
    8846,  2,         4
    8847,  2,         4
    8848,  2,         3
    8849,  2,         3
    8850,  2,         4
    8851,  2,         4
    8852,  2,         3
    8853,  2,         3
    8854,  2,         4
    8855,  2,         4
    8856,  2,         6
    8857,  2,         3
    8858,  2,         3
    8859,  2,         3
    8860,  2,         3
    8861,  2,         3
    8862,  2,         3
    8863,  2,         4
    8864,  2,         4
    8865,  2,         6
    8866,  2,         3
    8867,  2,         3
    8868,  2,         3
    8869,  2,         3
    8870,  2,         3
    8871,  2,         3
    8872,  2,         4
    8873,  2,         4
    8874,  2,         6
    8875,  2,         3
    8876,  2,         3
    8877,  2,         3
    8878,  2,         3
    8879,  2,         3
    8880,  2,         3
    8881,  2,         4
    8882,  2,         4
    8883,  2,         6
    8884,  2,         3
    8885,  2,         3
    8886,  2,         3
    8887,  2,         3
    8888,  2,         3
    8889,  2,         3
    8890,  2,         4
    8891,  2,         4
    8892,  2,         6
    8893,  2,         3
    8894,  2,         3
    8895,  2,         3
    8896,  2,         3
    8897,  2,         3
    8898,  2,         3
    8899,  2,         4
    8900,  2,         4
    8901,  2,         6
    8902,  2,         3
    8903,  2,         3
    8904,  2,         3
    8905,  2,         3
    8906,  2,         3
    8907,  2,         3
    8908,  2,         4
    8909,  2,         4
    8910,  2,         6
    8911,  2,         3
    8912,  2,         3
    8913,  2,         3
    8914,  2,         3
    8915,  2,         3
    8916,  2,         3
    8917,  2,         4
    8918,  2,         4
    8919,  2,         6
    8920,  2,         3
    8921,  2,         3
    8922,  2,         3
    8923,  2,         3
    8924,  2,         3
    8925,  2,         3
    8926,  2,         4
    8927,  2,         4
    8928,  2,         6
    8929,  2,         3
    8930,  2,         3
    8931,  2,         3
    8932,  2,         3
    8933,  2,         3
    8934,  2,         3
    8935,  2,         4
    8936,  2,         4
    8937,  2,         4
    8938,  2,         6
    8939,  2,         4
    8940,  2,         4
    8941,  2,         4
    8942,  2,         6
    8943,  2,         3
    8944,  2,         3
    8945,  2,         3
    8946,  2,         3
    8947,  2,         3
    8948,  2,         3
    8949,  2,         3
    8950,  2,         3
    8956,  2,         4
    8957,  2,         4
    8958,  2,         4
    8959,  2,         6
    8960,  2,         6
    8961,  2,         4
    8962,  2,         4
    8963,  2,         4
    8964,  2,         4
    8965,  2,         6
    8966,  2,         3
    8967,  2,         3
    8968,  2,         3
    8969,  2,         3
    8970,  2,         5
    8971,  2,         3
    8972,  2,         3
    8973,  2,         3
    8974,  2,         3
    8975,  2,         3
    8985,  2,         5
    8986,  2,         4
    8987,  2,         4
    8988,  2,         4
    8989,  2,         4
    8990,  2,         6
    8991,  2,         4
    8992,  2,         4
    8993,  2,         4
    8994,  2,         4
    8995,  2,         5
    8996,  2,         3
    8997,  2,         3
    8998,  2,         3
    8999,  2,         3
    9000,  2,         3
    9015,  2,         7
    9016,  2,         4
    9017,  2,         4
    9018,  2,         4
    9019,  2,         4
    9020,  2,         6
    9021,  2,         5
    9022,  2,         4
    9023,  2,         4
    9024,  2,         4
    9025,  2,         4
    9041,  2,         4
    9042,  2,         4
    9043,  2,         4
    9044,  2,         4
    9045,  2,         6
    9046,  2,         4
    9047,  2,         4
    9048,  2,         4
    9049,  2,         4
    9050,  2,         4
    9075,  2,         4
    9076,  2,         4
    9077,  2,         4
    9078,  2,         4
    9079,  2,         4
    9080,  2,         4
    9081,  2,         4
    9082,  2,         4
    9083,  2,         4
    9084,  2,         4
    9085,  2,         4
    9086,  2,         4
   10254,  2,         2
   10255,  2,         3
   10256,  2,         3
   10257,  2,         3
   10258,  2,         3
   10259,  2,         3
   10260,  2,         3
   10261,  2,         3
   10262,  2,         3
   10263,  2,         3
   10264,  2,         3
   10265,  2,         3
   10266,  2,         3
   10267,  2,         3
   10268,  2,         3
   10269,  2,         3
   10270,  2,         3
   10271,  2,         3
   10272,  2,         3
   10273,  2,         3
   10274,  2,         3
   10275,  2,         3
   10276,  2,         3
   10277,  2,         3
   10278,  2,         3
   10279,  2,         3
   10284,  2,         4
   10285,  2,         4
   10286,  2,         4
   10287,  2,         4
   10288,  2,         4
   10289,  2,         4
   10290,  2,         4
   10291,  2,         4
   10292,  2,         3
   10293,  2,         3
   10294,  2,         3
   10295,  2,         3
   10669,  2,         2
   10670,  2,         2
   10672,  2,         2
   10707,  2,         2
   10986,  2,         2
   10988,  2,         2
   12499,  2,         4
   12500,  2,         4
   12501,  2,         4
   12607,  2,         3
   12608,  2,         3
   12609,  2,         3
   12610,  2,         3
   12611,  2,         3
   12612,  2,         3
   12613,  2,         4
   12614,  2,         4
   12615,  2,         4
   13325,  2,         2
   13326,  2,         2
   13327,  2,         2
   13328,  2,         2
   13578,  2,         2
   13579,  2,         2
   13580,  2,         2
   13581,  2,         2
   13582,  2,         2
   13583,  2,         2
   13584,  2,         2
   13585,  2,         2
   13586,  2,         2
   13587,  2,         2
   13588,  2,         2
   13589,  2,         2
   13590,  2,         2
   13591,  2,         2
   13592,  2,         2
   13593,  2,         2
   13594,  2,         2
   13595,  2,         2
   13596,  2,         2
   13597,  2,         2
   13598,  2,         2
   13599,  2,         2
   13600,  2,         2
   13601,  2,         2
   13602,  2,         2
   13603,  2,         2
   13604,  2,         2
   13605,  2,         2
   13606,  2,         2
   13607,  2,         2
   13608,  2,         2
